facebook.com,157.240.28.35
live.com,204.79.197.212
yahoo.com,72.30.35.10
baidu.com,220.181.57.216
youtube.com,172.217.2.14
msn.com,13.82.28.61
wikipedia.org,208.80.153.224
blogspot.com,172.217.12.9
microsoft.com,40.112.72.205
taobao.com,140.205.220.96
qq.com,111.161.64.48
sina.com.cn,202.108.33.60
ask.com,151.101.70.114
bing.com,204.79.197.200
adobe.com,193.104.215.58
163.com,123.58.180.7
soso.com,118.191.216.57
twitter.com,104.244.42.1
mozilla.com,63.245.208.194
youku.com,106.11.186.1
andysayler.com,138.197.228.157
wmfo.org,23.92.21.128
sdjjdsaf.com,
yahoo.co.jp,183.79.135.206
amazon.com,176.32.103.205
tudou.com,106.11.47.19
wordpress.com,192.0.78.9
sohu.com,221.179.177.36
apple.com,17.178.96.59
hao123.com,61.135.162.10
windows.com,13.77.161.179
ebay.com,66.211.162.12
56.com,101.227.173.126
xunlei.com,39.104.39.191
pps.tv,101.227.188.178
fc2.com,54.191.118.67
sogou.com,118.191.216.57
paypal.com,64.4.250.37
tmall.com,140.205.130.99
ku6.com,117.50.1.222
rakuten.co.jp,133.237.61.176
about.com,151.101.1.121
orkut.com.br,
bbc.co.uk,151.101.64.81
yandex.ru,77.88.55.80
myspace.com,63.135.90.70
cnet.com,64.30.228.118
go.com,23.236.60.174
orkut.com,216.239.38.21
skype.com,23.102.255.237
ameblo.jp,104.106.28.122
mail.ru,217.69.139.202
goo.ne.jp,153.254.147.65
4shared.com,204.155.146.95
ifeng.com,123.103.122.24
linkedin.com,108.174.10.10
flickr.com,69.147.88.7
amazon.co.jp,52.119.168.48
dailymotion.com,195.8.215.136
imdb.com,52.94.228.167
hotmail.com,204.79.197.212
aol.co,
4399.com,118.184.184.70
weather.com,23.79.192.175
360.cn,101.198.193.22
soku.com,106.11.186.25
craigslist.org,208.82.237.226
livedoor.jp,203.104.153.16
alibaba.com,198.11.132.23
megaupload.com,
vkontakte.ru,95.213.4.229
blogger.com,172.217.1.201
naver.com,125.209.222.142
answers.com,151.101.64.203
rapidshare.com,0.0.0.0
7k7k.com,101.200.128.82
photobucket.com,209.17.68.100
mediafire.com,104.19.194.29
ehow.com,23.227.13.162
daum.net,203.133.167.16
renren.com,120.133.2.242
alipay.com,110.75.139.5
nifty.com,222.158.213.148
softonic.com,35.190.12.174
imageshack.us,208.94.3.18
tianya.cn,124.225.65.154
cnn.com,151.101.1.67
zynga.com,99.84.254.107
partypoker.com,195.72.135.96
mywebsearch.com,74.113.237.222
hp.com,15.72.164.74
kugou.com,119.146.204.176
walmart.com,161.170.239.170
ebay.de,66.135.211.132
seesaa.ne,127.0.0.1
youdao.com,61.135.218.30
hotfile.com,18.207.9.28
paipai.com,
2345.com,42.62.30.180
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.147.1
jp.msn.co,
qiyi.com,101.227.188.178
