msn.com,13.82.28.61
baidu.com,220.181.57.216
youtube.com,172.217.2.14
wikipedia.org,208.80.153.224
facebook.com,157.240.28.35
yahoo.com,98.138.219.231
live.com,204.79.197.212
blogspot.com,172.217.1.201
microsoft.com,40.112.72.205
qq.com,111.161.64.40
taobao.com,140.205.94.189
ifeng.com,123.103.122.24
sina.com.cn,202.108.33.60
amazon.com,176.32.98.166
bing.com,13.107.21.200
wordpress.com,192.0.78.9
goo.ne.jp,153.254.147.65
bbc.co.uk,151.101.0.81
yandex.ru,5.255.255.77
tudou.com,106.11.47.20
myspace.com,63.135.90.70
soso.com,118.191.216.42
sohu.com,220.181.90.52
yahoo.co.jp,183.79.135.206
windows.com,13.77.161.179
hao123.com,180.149.132.3
apple.com,17.142.160.59
ebay.com,66.211.185.25
pps.tv,101.227.188.178
56.com,101.227.173.126
xunlei.com,47.98.65.156
sogou.com,118.191.216.42
paypal.com,64.4.250.36
rakuten.co.jp,133.237.61.176
fc2.com,34.215.167.11
tmall.com,140.205.130.99
ku6.com,117.50.1.222
about.com,151.101.193.121
adobe.com,192.147.130.204
mozilla.com,63.245.208.194
ask.com,151.101.70.114
163.com,123.58.180.7
twitter.com,104.244.42.193
youku.com,106.11.186.1
andysayler.com,138.197.228.157
wmfo.org,23.92.21.128
orkut.com.br,
cnet.com,64.30.228.118
4399.com,118.184.184.70
go.com,23.236.60.174
mail.ru,94.100.180.202
sdjjdsaf.com,
orkut.com,216.239.38.21
skype.com,40.115.34.155
ameblo.jp,104.106.28.122
naver.com,210.89.160.88
4shared.com,204.155.149.41
dailymotion.com,195.8.215.136
flickr.com,69.147.88.7
amazon.co.jp,52.119.161.5
linkedin.com,108.174.10.10
imdb.com,52.94.237.74
alipay.com,110.75.139.5
nifty.com,222.158.213.148
aol.co,
softonic.com,35.190.12.174
imageshack.us,208.94.3.19
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.222
cnn.com,151.101.1.67
paipai.com,
partypoker.com,195.72.135.96
youdao.com,61.135.218.27
hp.com,15.73.192.108
zynga.com,143.204.29.66
hotfile.com,18.207.9.28
kugou.com,183.131.48.92
ebay.de,66.135.211.132
walmart.com,161.170.239.170
pconline.com.cn,219.136.245.40
qiyi.com,101.227.188.172
360.cn,101.198.193.22
soku.com,106.11.186.1
odnoklassniki.ru,217.20.147.1
hotmail.com,204.79.197.212
weather.com,104.89.254.184
craigslist.org,208.82.237.226
alibaba.com,198.11.132.23
livedoor.jp,203.104.153.16
renren.com,120.133.2.242
rapidshare.com,0.0.0.0
blogger.com,172.217.2.9
answers.com,151.101.0.203
vkontakte.ru,95.213.4.228
daum.net,203.133.167.16
7k7k.com,101.200.128.82
2345.com,42.62.30.180
photobucket.com,209.17.68.100
ehow.com,23.227.13.162
seesaa.ne,127.0.0.1
mediafire.com,104.19.194.29
jp.msn.co,
megaupload.com,
